Year,Questions,Marks,Topic,Subtopic,Mark Scheme,Mark scheme K,Mark scheme Ap,Mark scheme An,Page,Check,
May 2018,assess the extent to which training assistant managers for promotion to managers could benefit a business such as puregym,10,managing people,product service design mix function aesthetics cost in elements reflect social trend resource depletion waste minimisation reuse recycle ethical sourcing branding promotion types benefits strong added value ability charge premium price elasticity demand build brand unique selling point usp differentiation advertising sponsorship media viral marketing emotional pricing strategy plus mark up skimming penetration predatory competitive psychological factor determine appropriate particular situation number competition business environment strength stage life cycle cost profit online sale comparison site distribution channel extension boston matrix portfolio consumer behaviour customer loyalty,1 (f) Knowledge 2 Application 2 Analysis 3 Evaluation 3  Offering onthejob training for assistant gym managers may increase motivation asy have something to work towards Trainingir own managers means PureGym can procedures Assistant managers will already know company and how it works so less training may be needed than if external recruitment was used The Shining Stars scheme could make recruiting staff for 60 new gyms easier because new employees see chance for progressionpromotion Potential counterbalance Only selected assistant gym managers are given onthejob training to become managers which could demotivate otherscause resentment If PureGym used external recruitment to find new gym managersy may get more qualifiedexperienced peoplenew ideas Once assistant gym managers are trainedy may leave to work for a competitor such as Fitness First who may offer higher wages Potential Judgement The benefits depend on quality of training and whether assistant managers who are chosen for Shining Stars scheme remain with PureGym It depends on capability of assistant managers to become a manager and progression opportunities made available through such things as 19 increase in number of fitness facilities (10),,,,8,TRUE,13
May 2018,what is meant by niche market,2,meeting customer needs,mass niche characteristics market size share brand dynamic online retailing change innovation growth adapting competition difference risk uncertainty research product orientation primary secondary data quantitative qualitative anticipate customer needs wants likely demand gain insight consumer behaviour limitations sample bias websites social networking database segmentation positioning mapping competitive advantage service purpose differentiation adding value product service,2(a) Knowledge 2 Knowledgeunderstanding of niche market eg A small section of a market (1) with distinctive specialised requirements (1) (2),,,,11,TRUE,13
May 2018,what is meant by brand,2,marketing mix and strategy,mass niche characteristics market size share brand dynamic online retailing change innovation growth adapting competition difference risk uncertainty research product orientation primary secondary data quantitative qualitative anticipate customer needs wants likely demand gain insight consumer behaviour limitations sample bias websites social networking database segmentation positioning mapping competitive advantage service purpose differentiation adding value product service,2(b) Knowledge 2 Knowledgeunderstanding of brand eg A unique designsignsymbolwordslogo (1) which makes it recognisabledistinguishesdifferentiates it from its competitors (1) (2),,,,11,TRUE,13
May 2018,using the data in extract b calculate to 2 decimal places the market share of protein bars in the protein food and drink market for 2015. you are advised to show your workings,4,meeting customer needs,mass niche characteristics market size share brand dynamic online retailing change innovation growth adapting competition difference risk uncertainty research product orientation primary secondary data quantitative qualitative anticipate customer needs wants likely demand gain insight consumer behaviour limitations sample bias websites social networking database segmentation positioning mapping competitive advantage service purpose differentiation adding value product service,2(c) Knowledge 1 Application 3 Quantitative skills assessed QS2 Calculate use and understand percentages and percentage changes Knowledge 1 mark for formula Sales of XTotal sales of market x 100 = et Share Application up to 3 marks Calculate market sales for 2015 = £22m £82m = £138m (1)  Calculate market share = (138m310m) x 100 (1) = 445 (1) NB If only answer given is 445 award 4 marks 445 award 3 marks 45 award 3 marks 45 award 2 marks  (4),,,,12,TRUE,13
May 2018,explain how mars could research the protein bar market,4,meeting customer needs,mass niche characteristics market size share brand dynamic online retailing change innovation growth adapting competition difference risk uncertainty research product orientation primary secondary data quantitative qualitative anticipate customer needs wants likely demand gain insight consumer behaviour limitations sample bias websites social networking database segmentation positioning mapping competitive advantage service purpose differentiation adding value product service,2 (d) Knowledge 1 Application 2 Analysis 1 Knowledge 1 mark for suggesting how business can research market definition of market research eg By conducting primary or secondary market research Gathering presenting and analysing information about productscustomers Application up to 2 marks for contextualised examples eg Mars could conduct primary market research by asking sports people such as those in cycling industry what type of snacksy like Mars could carry out secondary market research using internet to find out how manywhat type of protein bars are currently being sold Analysis 1 mark for explaining above eg This could help Mars to produce protein bars that fit needs and wants ofir target market which may result in more salesincreasing market share  (4),By conducting primary or secondary market research Gathering presenting and analysing information about productscustomers ,Mars could conduct primary market research by asking sports people such as those in cycling industry what type of snacksy like Mars could carry out secondary market research using internet to find out how manywhat type of protein bars are currently being sold,This could help Mars to produce protein bars that fit needs and wants ofir target market which may result in more salesincreasing market share ,12,TRUE,13
May 2018,assess two methods mars could use to promote its new protein bars,8,marketing mix and strategy,demand factors change prices substitute and complementary goods consumer income fashions taste preference advertising branding demographics external shock seasonality supply cost production introduction new technology indirect tax government subsidies market interaction draw diagram show cause consequence price elasticity calculation numerical value influence significance businesses implication for pricing relationship total revenue income,2(e) Knowledge 2 Application 2 Analysis 2 Evaluation 2 Promotion is way a business creates demandawareness forir productservice Mars could create a new TV advert using a sports celebrity eg Mo Farah to encourage people to buy protein bars Mars could provide point of sale material such as counter displays to sports shops so people buy protein bars when paying for sports equipmentclothing Mars could carry out a sales promotion with an introductory offer such as BOGOF to encourage people to tryir new protein bars Potential Counterbalance A TV advert would be very expensive and may not be seen by people who have an active lifestyle asy may be out ridingir bike Sports shops may not be a good place to promote new bars because 17 of UK customers eat protein snacks between meals so supermarkets might be a better place to promotem Mars may not need to discountir products as it is a recognised trusted brand name and people will be willing to tryir new products at full price  (8),,,,14,TRUE,13
May 2018,assess the importance of adapting to market change for a business such as mars,10,meeting customer needs,mass niche characteristics market size share brand dynamic online retailing change innovation growth adapting competition difference risk uncertainty research product orientation primary secondary data quantitative qualitative anticipate customer needs wants likely demand gain insight consumer behaviour limitations sample bias websites social networking database segmentation positioning mapping competitive advantage service purpose differentiation adding value product service,2(f) Knowledge 2 Application 2 Analysis 3 Evaluation 3 Change is important to a business in a dynamic market such as snack market so it can keep up with  If Mars did not change by producing new products such as protein barsy may lose market share as customers look for healthier snacks 17 of UK consumers buy protein snacks Customers might get bored of same chocolate bars Mars and Snickers have been around for a long time and other snack companies such as always bringing out new chocolate varieties so Mars may lose sales The protein market is worth £310m and is growing if Mars did not adapt to this market changey might miss out on salesy could otherwise gain from this niche market When Mars use strength ofir brand name to bring out new products such as Mars drinks and Mars ice creamy are able to gain a competitive advantage in new markets and so increaseir overall salesprofits Potential Counterbalance The market change may be shortterm so cost involved in developing new products such as protein bars may not be recovered from sales especially in niche markets Mars is a popular established brand which customers will continue to buy becausey like traditional Mars bar Consumers may not like new version because it tastes different eg Kraft changed recipe for Cadbury Creme Egg which customers complained about There may be established competitors in new market which may prevent Mars from being successful which may meany are unable to gain market share Potential Judgement Mars need to keep up to date with changes in snack market such as healthy eating so thaty can create products that people want to make up for loss of sales ofir unhealthy products  Mars should focus on its cash cows such as Snickers asse will generate significant cash flowsrevenue and coverir costs This could be better than risking large amounts of investment in RD on problem childquestion mark products (10),,,,16,TRUE,13
May 2018,evaluate these two options and recommend which option would be most suitable for a company that operates in a dynamic market such as mt,20,meeting customer needs,mass niche characteristics market size share brand dynamic online retailing change innovation growth adapting competition difference risk uncertainty research product orientation primary secondary data quantitative qualitative anticipate customer needs wants likely demand gain insight consumer behaviour limitations sample bias websites social networking database segmentation positioning mapping competitive advantage service purpose differentiation adding value product service,3 Knowledge 4 Application 4 Analysis 6 Evaluation 6 Venture Capital MT have already been successful by using venture capital from Piers Linney he mayrefore be willing to invest additional venture capital A venture capitalist like Piers Linney may be willing to invest as well as giving advice MT chose him for his technology credentials and that helpedm to provide most innovative technology in travel industry MT has only been established for 4 years yet has achieved a turnover of £45m making it an attractive investment opportunity A bank may not approve MT a loan because it thinks it is too risky as MT is a small business in a dynamic market compared to other travel technology businesses such as Bookingcom Bank Loan MT could use a bank loan becausey have a turnover of £45mreforey represent a lower risk and bank may offer a lower interest rate  MT have already developed new technology such as Hotel2020 so may already have appropriate staff and equipment required to develop more innovative technologyrefore amount of finance required could be small and easily gained from a bank  If MT use a bank loany may not have to sacrifice a further share of company preventing a further dilution of ownershipcontrol Piers Linney may not want to invest any more money into business as he may have other interests he wants to pursue as Dragonscompaniesrefore would need to apply for a bank loan Potential Recommendation  Venture capital would be best option because Piers Linney is likely to have already seen a good return on his 15 innovative approach in a dynamic market So Piers or other venture capitalists are likely to provide further investment to gain a higher return A bank loan would be best option since company is now established having made use of Piers expertise,,,,19,TRUE,13
May 2017,what is meant by competitive pricing,2,marketing mix and strategy,product service design mix function aesthetics cost in elements reflect social trend resource depletion waste minimisation reuse recycle ethical sourcing branding promotion types benefits strong added value ability charge premium price elasticity demand build brand unique selling point usp differentiation advertising sponsorship media viral marketing emotional pricing strategy plus mark up skimming penetration predatory competitive psychological factor determine appropriate particular situation number competition business environment strength stage life cycle cost profit online sale comparison site distribution channel extension boston matrix portfolio consumer behaviour customer loyalty,1(a) Knowledge 2 Knowledgeunderstanding For understanding competitive pricing eg When a business sets a price similar to competitors (1) selling similarrival products (1) NB Award 2 marks if a partial definition is supported by an example No marks awarded if only an example is given  (2),,,,3,TRUE,13
May 2017,what is meant by market orientation,2,meeting customer needs,mass niche characteristics market size share brand dynamic online retailing change innovation growth adapting competition difference risk uncertainty research product orientation primary secondary data quantitative qualitative anticipate customer needs wants likely demand gain insight consumer behaviour limitations sample bias websites social networking database segmentation positioning mapping competitive advantage service purpose differentiation adding value product service,1(b) Knowledge 2 Knowledgeunderstanding For understanding market orientation eg The business finds out needs and wants of customers (1) and responds tommeets customer requirements (1) NB Award 2 marks if a partial definition is supported by an example No marks awarded if only an example is given (2),,,,3,TRUE,13
May 2017,explain how m&s could build its clothing brand,4,marketing mix and strategy,product service design mix function aesthetics cost in elements reflect social trend resource depletion waste minimisation reuse recycle ethical sourcing branding promotion types benefits strong added value ability charge premium price elasticity demand build brand unique selling point usp differentiation advertising sponsorship media viral marketing emotional pricing strategy plus mark up skimming penetration predatory competitive psychological factor determine appropriate particular situation number competition business environment strength stage life cycle cost profit online sale comparison site distribution channel extension boston matrix portfolio consumer behaviour customer loyalty,1 (c) Knowledge 1 Application 2 Analysis 1 Knowledgeunderstanding 1 mark for a way to build a brand or understanding of brand eg Qualitypromotional method A distinguishing symbollogoname that companies use to differentiateir product from others in market  Application up to 2 marks for suggesting how MS could build its brand eg  Advertising its clothing offer Use social media to promote to its new younger market Differentiate it from others in market such as Next Analysis 1 mark for explaining benefit to MS eg  This might enable MS to increase awareness among its existingnew customers MS may be able to sell a wider range of products to existing customers  (4),"Quality/promotional method. A distinguishing symbol, logo, name that companies use to differentiateir product from others in market ",Advertising its clothing offer Use social media to promote to its new younger market Differentiate it from others in market such as Next ,This might enable MS to increase awareness among its existingnew customers MS may be able to sell a wider range of products to existing customers,3,TRUE,13
May 2017,construct a market map to illustrate the impact of m s’s decision to aim its clothing range at a younger target market,4,meeting customer needs,mass niche characteristics market size share brand dynamic online retailing change innovation growth adapting competition difference risk uncertainty research product orientation primary secondary data quantitative qualitative anticipate customer needs wants likely demand gain insight consumer behaviour limitations sample bias websites social networking database segmentation positioning mapping competitive advantage service purpose differentiation adding value product service,1 (d) Knowledge 1 Application 2 Analysis 1 Knowledgeunderstanding 1 mark for correctly constructing a labelled market map  Application up to 2 marks for  Correct labelling of both axis using price quality or age Identifying a competitor eg NEXT Analysis 1 mark for  Correctly positioning of MS based on its decision to aim its clothing range at a younger target market eg high quality low price Example market map This is only an example of what candidates could produce other distributions of clothing brand competitors from candidates own knowledge can be rewarded  (4) Highest Price Lowest Price Low Quality High Quality Primark M S TopshopTopman NEXT,,,,4,TRUE,13
May 2017,assess two factors that could influence the price elasticity of demand for m&s’s clothing range,8,market,demand factors change prices substitute and complementary goods consumer income fashions taste preference advertising branding demographics external shock seasonality supply cost production introduction new technology indirect tax government subsidies market interaction draw diagram show cause consequence price elasticity calculation numerical value influence significance businesses implication for pricing relationship total revenue income,1 (e) Knowledge 2 Application 2 Analysis 2 Evaluation 2  Price elasticity of demand measures responsiveness of demand to a change in price The number of competitors that MS have The strength of MS brand from MS Whether MS sell luxury or essential products Their USP British Brand Level of differentiation from competitors such as NEXT Availability of substitutes Potential Counterbalance The extent of influence of PED will depend on n price and importance of nonprice factors to target market The extent of influence of PED will depend on (8),,,,5,TRUE,13
May 2017,assess whether there is likely to be a trade off for m&s when it targets a younger market segment for its women’s clothes,10,meeting customer needs,role entrepreneur create set up business run expand develop innovation (barrier entrepreneurship anticipate risk uncertainty environment entrepreneurial motives characteristic skill required reason why people set businesses financial profit maximisation satisfice non ethical stance social independence home working objective survival employee welfare customer satisfaction forms sole trader partnership private limited company franchise enterprise lifestyle online growth plc stock flotation choices opportunity potential trade off moving from leader the difficulties,1 (f) Knowledge 2 Application 2 Analysis 3 Evaluation 3  A tradeoff is a situation in which benefits of one option are reduced in return for increased benefit of another option May put off existing loyal customersolder age range May lose customers due to confusion over what MS is offering May be more competition in new market so MS may not gain anticipated sales May not have knowledge required to enter younger market Potential counter balance Already struggling Not aiming at significantly younger market (top end of  Department store so could have sections to satisfy all segments like House of Fraser with its mix of brands Potential Judgement There may not be a tradeoff if MS manages to satisfy needs of both its existing customers and new market segment by offering a wide range of products (10),,,,6,TRUE,13
May 2017,what is meant by public limited company,2,Unit2,role entrepreneur create set up business run expand develop innovation (barrier entrepreneurship anticipate risk uncertainty environment entrepreneurial motives characteristic skill required reason why people set businesses financial profit maximisation satisfice non ethical stance social independence home working objective survival employee welfare customer satisfaction forms sole trader partnership private limited company franchise enterprise lifestyle online growth plc stock flotation choices opportunity potential trade off moving from leader the difficulties,2(a) Knowledge 2 Knowledgeunderstanding for understanding public limited company eg Shares are available to public on stock exchange (1) Are owned by shareholdershas limited liability (1) NB Award 2 marks if a partial definition is supported by an example No marks awarded if only an example is given  (2),,,,9,,
May 2017,what is meant by a franchise,2,Unit2,role entrepreneur create set up business run expand develop innovation (barrier entrepreneurship anticipate risk uncertainty environment entrepreneurial motives characteristic skill required reason why people set businesses financial profit maximisation satisfice non ethical stance social independence home working objective survival employee welfare customer satisfaction forms sole trader partnership private limited company franchise enterprise lifestyle online growth plc stock flotation choices opportunity potential trade off moving from leader the difficulties,2(b) Knowledge 2 Knowledgeunderstanding for understanding franchise eg A business is allowed to trade using brandlogobusiness model of an existing firm (1) in return for a feeroyalty (1) NB Award 2 marks if a partial definition is supported by an example No marks awarded if only an example is given  (2),,,,9,,
May 2017,explain how a flexible workforce might benefit ssp,4,managing people,approaches staff asset flexible workforce multi skilling part time and temporary hour home working outsource distinction between dismissal redundancy employer employee relationship individual approach collective bargaining recruitment selection training process internal external cost induction on job off organisational design structure hierarchy chain command span control centralised decentralised tall flat matrix efficiency motivation,2(c) Knowledge 1 Application 2 Analysis 1 Knowledgeunderstanding 1 mark for understanding flexible workforce eg Employees have choice over howwheny work by agreement with company Application up to 2 marks for suggesting how SSP might benefit from a flexible workforce eg  Airports and train stations have peak periods during dayweek flexible working  Airports have seasonal fluctuations that a flexible workforce would allowm to manage Analysis 1 mark for explaining benefit to SSP eg Allowsm to adapt to changes in demandcould enable staff to work at more than one outletbrand  (4),Employees have choice over how when to work by agreement with company ,Airports and train stations have peak periods during dayweek flexible working  Airports have seasonal fluctuations that a flexible workforce would allowm to manage,Allowsm to adapt to changes in demandcould enable staff to work at more than one outletbrand ,9,TRUE,13
May 2017,construct a supply and demand diagram to illustrate the likely impact of changing consumer tastes on burger king,4,market,demand factors change prices substitute and complementary goods consumer income fashions taste preference advertising branding demographics external shock seasonality supply cost production introduction new technology indirect tax government subsidies market interaction draw diagram show cause consequence price elasticity calculation numerical value influence significance businesses implication for pricing relationship total revenue income,2 (d) Knowledge 2 Application 1 Analysis 1 Quantitative skills assessed QS3 construct and interpret a range of standard graphical forms Knowledgeunderstanding up to 2 marks for  Correctly constructing supply and demand curves Correctly labelling axes price and quantity Application 1 mark for  Correctly interpreting shift in demand curve (to left) Analysis 1 mark for  Showing original and new equilibrium and consequences on quantity and price axes Price S  P P1 D1  D  (4)  Q1 Q  Quantity,,,,10,TRUE,13
May 2017,assess two benefits to ssp of operating franchises,8,Unit2,mass niche characteristics market size share brand dynamic online retailing change innovation growth adapting competition difference risk uncertainty research product orientation primary secondary data quantitative qualitative anticipate customer needs wants likely demand gain insight consumer behaviour limitations sample bias websites social networking database segmentation positioning mapping competitive advantage service purpose differentiation adding value product service,2(e) Knowledge 2 Application 2 Analysis 2 Evaluation 2  The franchisor provides training for franchisee  Burger KingStarbucksNandos pay for marketing awarenessreduced costs Buying into established brands that are recognised Starbucks is recognised worldwide and SSP operates worldwide which could increase sales Potential Counterbalance  Initial franchise fees can be high particularly for wellknown brands like NandosBurger KingStarbucks SSP will have to pay Royalties to franchisor which increases costsreduces its profit SSP will not have as much control over howy run franchised businesses becausey must follow franchise rulesmodel NB if candidates have approachedir answer as if and Caffé Ritazza award accurate responses  (8),,,,11,,
May 2017,assess the likely benefits to a company such as ssp of using non-financial techniques to motivate employees,10,managing people,role entrepreneur create set up business run expand develop innovation (barrier entrepreneurship anticipate risk uncertainty environment entrepreneurial motives characteristic skill required reason why people set businesses financial profit maximisation satisfice non ethical stance social independence home working objective survival employee welfare customer satisfaction forms sole trader partnership private limited company franchise enterprise lifestyle online growth plc stock flotation choices opportunity potential trade off moving from leader the difficulties,2(f) Knowledge 2 Application 2 Analysis 3 Evaluation 3  Nonfinancial techniques of motivation are ways of encouraging employees without use of monetary rewards SSP are likely to have parttimeflexibleseasonal staff working inir airporttrain station outlets Working at Burger KingStarbucks involves repetitive tasks employees may become bored so job rotation could keepm motivatedimprove performance This kind of work involves working as part of a team so emphasis on teamwork rather than monetary reward is likely to improve performance Customer Service is important in this business if staff are happyy are more likely to provide better service so nature of jobworking environment is more important than money Potential Counterbalance  If staff are parttimetemporaryy may lack commitment and only bere for money so using bonuses may be more beneficial to increase sales Many of jobs employees are required to do in fast food outlets are repetitive so job rotation may not be enough piece rate or performance related pay may be a better way to increase productivity Lots of competition for staff so SSP may have to offer monetary rewards to recruit and retain employees Potential Judgement  The most suitable method of motivation would depend on type of employees SSP have and role employee has Permanent staff may prefer enrichment and empowerment and chance to work flexible hours whereas temporaryseasonal staff may prefer performance related pay NB Candidates may also refer to motivationalory (10),,,,12,TRUE,13
May 2017, evaluate these two options and recommend which option would help maria allen meet her sales target,20,meeting customer needs,product service design mix function aesthetics cost in elements reflect social trend resource depletion waste minimisation reuse recycle ethical sourcing branding promotion types benefits strong added value ability charge premium price elasticity demand build brand unique selling point usp differentiation advertising sponsorship media viral marketing emotional pricing strategy plus mark up skimming penetration predatory competitive psychological factor determine appropriate particular situation number competition business environment strength stage life cycle cost profit online sale comparison site distribution channel extension boston matrix portfolio consumer behaviour customer loyalty,3 Knowledge 4 Application 4 Analysis 6 Evaluation 6 Ethical Sourcing Her USP is sustainable gifts and products made from ethically sourced materials She has achieved success so far with exclusive partnerships with British Museum Tate Galleries and Royal Academy of Arts which is likely to be because she handcrafts unique products from reclaimed wood  Costs may not be important as she can charge high prices in a niche market The tailored love letters are made to order so will use job production which will increase costs but add value making people more willing to buym She operates in a niche market so quality of materials is likely to be more important focusing on costs could reduce quality The MadeinBritain slogan is also important to Maria Allen brand focusing on costs may mean offshoring to less ethical production facilities Cost Minimisation Ethically sourced materials may cost more which may impact on prices and reduce sales Keeping costs down would enable Maria to keep prices competitive in competitive market and gain more sales  Cost minimisation would enable Maria to invest in development of new product ranges to increase sales Maria will need to produce more to meet her turnover target of £500000 economies of scale could be gained with increased production Potential Recommendation  Using ethically sourced materials is her unique selling point and is important to her existing customers without it she might not be able to compete in market and lose sales Maria Allen should focus on costs because she wants to expand and increase her turnover by focusing on costs this may allow her to reduce prices andrefore boost sales  (20),,,,15,TRUE,13
May 2019_v2,Define the term 'qualitative research',2,meeting customer needs,,,,,,2,TRUE,11
May 2019_v2,"Calculate the price elasticity of demand PED for a Superdry t-shirt if the price decreases by 10% and sales increase from 120,000 to  150,000 You are advised to show your working",4,market,,,,,,2,TRUE,11
May 2019_v2,Analyse how two different methods of primary research could help Superdry,6,meeting customer needs,,,,,,3,TRUE,11
May 2019_v2,"Using the data in Extract B, discuss the likely impact of Superdrya's profit share plan on employee motivation",8,managing people,,,,,,4,TRUE,11
May 2019_v2,Assess the extent to which the Boston Matrix may help Superdry compete in the clothing market,10,marketing mix and strategy,,,,,,5,TRUE,11
May 2019_v2,Define the term ‚online retailing,2,marketing mix and strategy,,,,,,7,TRUE,11
May 2019_v2,"Using the data from Extract D, explain one way changes in fashions, tastes or preferences have affected demand for Ocado",4,market,,,,,,7,TRUE,11
May 2019_v2,Analyse two advantages for Ocado of having cost efficiency as a main business objective,6,entreprenuers and leaders,,,,,,8,TRUE,11
May 2019_v2,Discuss the extent to which Ocado has been successful in adding value to its business,8,meeting customer needs,,,,,,9,TRUE,11
May 2019_v2,Assess the importance of place in Ocado's marketing mix,10,marketing mix and strategy,,,,,,10,TRUE,11
May 2019,What is meant by social enterprise?,2,Unit2,,,,,,3,,
May 2019_v2,"Function, aesthetics and cost of manufacture are elements of the design mix. Evaluate which of these is the most important element for manufacturers of
smartphones.",20,marketing mix and strategy,,,,,,12,TRUE,11
May 2019,What is meant by business objective?,2,entreprenuers and leaders,,,,,,3,TRUE,12
May 2019,Explain how The Good Hotel's social objectives could lead to an increase in added value,4,entreprenuers and leaders,,,,,,4,TRUE,12
May 2019,Explain how The Good Hotel in Guatemala could benefit from operating in a niche market,4,meeting customer needs,,,,,,5,TRUE,12
May 2019,Assess two methods The Good Hotel could use to develop customer loyalty,8,marketing mix and strategy,,,,,,6,TRUE,12
May 2019,"Assess whether a unique selling point USP is the most important factor in determining a pricing strategy for a premium priced hotel, such as The Good Hotel",10,marketing mix and strategy,,,,,,8,TRUE,12
May 2019,What is meant by span of control?,2,managing people,,,,,,11,TRUE,12
May 2019,What is meant by consultation?,2,managing people,,,,,,11,TRUE,12
May 2019,"Calculate, to 2 decimal places, the percentage fall in the price of an Omega Seamaster watch",4,market,,,,,,12,TRUE,12
May 2019,Explain how Beaverbrooks could use the Boston matrix,4,marketing mix and strategy,,,,,,13,TRUE,12
May 2019,Assess two factors that could affect the supply of Beaverbrooks silver jewellery,8,market,,,,,,14,TRUE,12
May 2019,Assess the potential benefits for Beaverbrooks of having a more decentralised organisational structure,10,managing people,,,,,,16,TRUE,12
Jan 2019,Define the term ‘product portfolio’,2,marketing mix and strategy,,,,,,2,TRUE,10
Jan 2019,"Using the data, calculate the income elasticity of demand YED for Primark in You are advised to show your working",4,market,,,,,,2,TRUE,10
Jan 2019,Analyse two possible difficulties Primark might face from selling to a mass market,6,meeting customer needs,,,,,,3,TRUE,10
Jan 2019,Discuss the benefits to Primark of using a cost plus pricing system,8,marketing mix and strategy,,,,,,4,TRUE,10
Jan 2019,Assess the importance to Primark of having ethical sourcing as a business objective,10,entreprenuers and leaders,,,,,,5,TRUE,10
Jan 2019,Define the term ‘entrepreneur’,2,entreprenuers and leaders,,,,,,7,TRUE,10
Jan 2019,Construct a supply and demand diagram to show the impact on the market for smoothie drinks following damage to fruit crops caused by poor weather,4,market,,,,,,7,TRUE,10
Jan 2019,Analyse two factors that are likely to affect the demand for Innocent products,6,market,,,,,,8,TRUE,10
Jan 2019,Discuss the benefits of market segmentation to a business such as Innocent,8,meeting customer needs,,,,,,9,TRUE,10
Jan 2019,Assess the advantages for Innocent of test marketing its products,10,meeting customer needs,,,,,,10,TRUE,10
May 2020,Define the term ‚market share,2,meeting customer needs,,,,,,2,TRUE,11
May 2020,Calculate the price elasticity of demand PED for the television You are advised to show your working,4,market,,,,,,2,TRUE,11
May 2020,Analyse two methods that Samsung might have used to build its brand,6,marketing mix and strategy,,,,,,3,TRUE,11
May 2020,"Discuss the benefits, for a business such as Samsung, of using secondary research when developing new products",8,meeting customer needs,,,,,,4,TRUE,11
May 2020,"Assess the advantages for a business, such as Samsung, of using a price skimming strategy for its new products",10,marketing mix and strategy,,,,,,5,TRUE,11
May 2020,Define the term ‚product differentiationa,2,meeting customer needs,,,,,,7,TRUE,11
May 2020,Construct a supply and demand diagram to show the impact of increased advertising by Lehman's on the handmade tools market,4,market,,,,,,7,TRUE,11
May 2020,Analyse two advantages for Lehman's of providing benefits to its employees,6,managing people,,,,,,8,TRUE,11
May 2020,Discuss the importance of function to Lehman's when considering the design mix for new products,8,marketing mix and strategy,,,,,,9,TRUE,11
May 2020,Assess the benefits of operating in a niche market for a business such as Lehman's,10,meeting customer needs,,,,,,10,TRUE,11
May 2020,Evaluate which type of training may be the most effective for Shangri-La Hotels.,20,managing people,,,,,,12,TRUE,11
Jan 2020,Define the term 'uncertainty',2,entreprenuers and leaders,,,,,,2,TRUE,9
Jan 2020,Analyse two entrepreneurial characteristics that Rossi Mitova has that may have contributed to her success,6,entreprenuers and leaders,,,,,,3,TRUE,9
Jan 2020,"Discuss the advantages for small businesses, such as the farms in Bulgaria, of using an online retailing service to sell their products",8,marketing mix and strategy,,,,,,4,TRUE,9
Jan 2020,Assess if there is a trade-off between social objectives and profit for these farmers,10,entreprenuers and leaders,,,,,,8,TRUE,9
Jan 2020,Define the term ‚secondary market researcha,2,meeting customer needs,,,,,,7,TRUE,9
Jan 2020,"Using Extract C, calculate to 2 decimal places, the percentage change in sales revenue for Skechers between and You are advised to show your working",4,meeting customer needs,,,,,,7,TRUE,9
Jan 2020,Analyse two advantages of using focus groups for a business such as Skechers,6,meeting customer needs,,,,,,8,TRUE,9
Jan 2020,Discuss how the product life cycle may help Skechers develop its product portfolio,8,marketing mix and strategy,,,,,,9,TRUE,9
Jan 2020,Assess the extent to which a centralised organisational structure may benefit Skechers,10,managing people,,,,,,10,TRUE,9
Oct 2021,Define the term ‘niche market’.,2,meeting customer needs,,,,,,2,TRUE,22
Oct 2021,"Construct a supply and demand diagram to show the impact of a decrease in the
price of milk and cream on the ice cream market.",4,market,,,,,,2,TRUE,22
Oct 2021,"Analyse two factors that might influence the price elasticity of demand (PED) for
ice cream.",6,market,,,,,,3,TRUE,22
Oct 2021,Discuss the importance of product differentiation to the success of Oppo.,8,meeting customer needs,,,,,,4,TRUE,22
Oct 2021,"Assess the advantages to Oppo of using these methods when developing
its brand.",10,marketing mix and strategy,,,,,,5,TRUE,22
Oct 2021,Define the term ‘social media’.,2,marketing mix and strategy,,,,,,7,TRUE,22
Oct 2021,"Using the above data, calculate the total amount of redundancy payments made
by Deutsche Bank. You are advised to show your workings.",4,managing people,,,,,,8,TRUE,22
Oct 2021,"Analyse two possible benefits for Deutsche Bank of using collective bargaining to
negotiate redundancy payments with its employees.",6,managing people,,,,,,9,TRUE,22
Oct 2021,"Discuss the advantages for Deutsche Bank of using television advertising in its
marketing campaign.",8,marketing mix and strategy,,,,,,10,TRUE,22
Oct 2021,"Assess the impact on Deutsche Bank of the changes made to its
organisational structure.",10,managing people,,,,,,11,TRUE,22
Oct 2021,"Evaluate the extent to which the recruitment and training methods used by Japanese
businesses may help them compete in the global artificial intelligence (AI) industry.",20,managing people,,,,,,13,TRUE,22
Jan 2022,Define the term ‘quantitative data’.,2,meeting customer needs,,,,,,2,TRUE,22
Jan 2022,"Construct a supply and demand diagram to show the impact of increasing
publicity on the biodegradable packaging market.",4,market,,,,,,2,TRUE,22
Jan 2022,"Analyse two entrepreneurial characteristics shown by Vaibhav Anant that may
have helped Bambrew to succeed.",6,managing people,,,,,,3,TRUE,22
Jan 2022,"Discuss the benefits for Vaibhav Anant of using secondary market research when
starting his business.",8,meeting customer needs,,,,,,4,TRUE,22
Jan 2022,"Assess if there is likely to be a trade-off between an ethical stance and profit for
Bambrew.",10,entreprenuers and leaders,,,,,,5,TRUE,22
Jan 2022,Define the term ‘social trends’.,2,entreprenuers and leaders,,,,,,7,TRUE,22
Jan 2022,"Using the data, calculate the increase in monthly revenue for Aldi between
January 2019 and January 2020. You are advised to show your workings.",4,meeting customer needs,,,,,,8,TRUE,22
Jan 2022,"Analyse two benefits for Aldi of having employee welfare as one of its main
business objectives.",6,entreprenuers and leaders,,,,,,9,TRUE,22
Jan 2022,Assess the benefits for Aldi of sponsoring the UK Olympic team.,8,marketing mix and strategy,,,,,,10,TRUE,22
